name,country,institution,dblp,pid,final_url,expertise
andrea cali,united kingdom,birkbeck univ. of london,https://dblp.uni-trier.de/pers/c/Cal=igrave=:Andrea.html,c-AndreaCali,https://dblp.uni-trier.de/pid/c/AndreaCali.html,7
andreas hotho,germany,universitat wurzburg,https://dblp.org/pers/h/Hotho:Andreas.html,h-AndreasHotho,https://dblp.org/pid/h/AndreasHotho.html,10
andreas kipf,united states,mit,https://dblp.org/pers/k/Kipf:Andreas.html,167-6469,https://dblp.org/pid/167/6469.html,6
andreas lommatzsch,germany,tu berlin,https://dblp.org/pers/l/Lommatzsch:Andreas.html,38-2946,https://dblp.org/pid/38/2946.html,3
andreas zufle,united states,george mason university,https://dblp.org/pid/18/2478.html,18-2478,https://dblp.org/pid/18/2478.html,10
andreea-ioana deac,united kingdom,university of cambridge,https://dblp.org/pers/d/Deac:Andreea.html,222-3221,https://dblp.org/pid/222/3221.html,3
andrew crotty,united states,cmu/brown,https://dblp.org/pid/147/4971.html,147-4971,https://dblp.org/pid/147/4971.html,3
andrew pavlo,united states,cmu,https://dblp.uni-trier.de/pers/p/Pavlo:Andrew.html,58-4127,https://dblp.uni-trier.de/pid/58/4127.html,4
andri ashfahani,singapore,nanyang technological university,https://dblp.org/pers/a/Ashfahani:Andri.html,218-6513,https://dblp.org/pid/218/6513.html,8
angela bonifati,france,univ. of lyon,https://dblp.uni-trier.de/pers/b/Bonifati:Angela.html,b-ABonifati,https://dblp.uni-trier.de/pid/b/ABonifati.html,10
anhai doan,united states,university of wisconsin-madison,https://dblp.org/pid/d/AnHaiDoan.html,d-AnHaiDoan,https://dblp.org/pid/d/AnHaiDoan.html,4
animesh mukherjee,india,"indian institute of technology, kharagpur",https://dblp.org/pers/hd/m/Mukherjee_0001:Animesh,m-AnimeshMukherjee,https://dblp.org/pid/m/AnimeshMukherjee.html,7
anirban dasgupta,india,iit gandhinagar,https://dblp.org/pid/54/385-1.html,54-385-1,https://dblp.org/pid/54/385-1.html,5
anirban dasgupta,india,iitgn,https://dblp.org/pid/54/385-1.html,54-385-1,https://dblp.org/pid/54/385-1.html,6
anja gruenheid,united states,google inc.,https://dblp.org/pid/81/10578.html,81-10578,https://dblp.org/pid/81/10578.html,10
anja gruenheid,united states,microsoft,https://dblp.org/pid/81/10578.html,81-10578,https://dblp.org/pid/81/10578.html,1
anna fariha,united states,microsoft,https://dblp.org/pid/29/11192.html,29-11192,https://dblp.org/pid/29/11192.html,1
anna fariha,united states,university of massachusetts amherst,https://dblp.org/pid/29/11192.html,29-11192,https://dblp.org/pid/29/11192.html,1
anna squicciarini,united states,the pennsylvania state university,https://dblp.org/pers/s/Squicciarini:Anna_Cinzia.html,s-AnnaCinziaSquicciarini,https://dblp.org/pid/s/AnnaCinziaSquicciarini.html,8
annalisa appice,italy,university of bari,https://dblp.org/pers/a/Appice:Annalisa.html,63-5512,https://dblp.org/pid/63/5512.html,3
anshumali shrivastava,united states,rice university,https://dblp.org/pers/s/Shrivastava:Anshumali.html,63-9828,https://dblp.org/pid/63/9828.html,5
anshuman dutt,united states,microsoft,https://dblp.org/pers/d/Dutt:Anshuman.html,147-1241,https://dblp.org/pid/147/1241.html,4
anthony k. h. tung,singapore,national university of singapore,https://dblp.org/pid/t/AnthonyKHTung.html,t-AnthonyKHTung,https://dblp.org/pid/t/AnthonyKHTung.html,8
anthony tung,singapore,nus,https://dblp.org/pers/t/Tung:Anthony_K=_H=.html,t-AnthonyKHTung,https://dblp.org/pid/t/AnthonyKHTung.html,9
anthony tung,singapore,nus,https://dblp.org/pers/t/Tung:Anthony_K=_H=.html,t-AnthonyKHTung,https://dblp.org/pid/t/AnthonyKHTung.html,9
anton dignoes,italy,free university of bozen-bolzano,https://dblp.org/pid/96/11411.html,96-11411,https://dblp.org/pid/96/11411.html,5
anton dignoes,italy,free university of bozen-bolzano,https://dblp.org/pid/96/11411.html,96-11411,https://dblp.org/pid/96/11411.html,10
antonios deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,d-ADeligiannakis,https://dblp.org/pid/d/ADeligiannakis.html,10
antonios deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,d-ADeligiannakis,https://dblp.org/pid/d/ADeligiannakis.html,10
antonis deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,d-ADeligiannakis,https://dblp.org/pid/d/ADeligiannakis.html,6
aoqian zhang,canada,university of waterloo,https://dblp.org/pid/163/0449.html,163-0449,https://dblp.org/pid/163/0449.html,9
aoying zhou,china,east china normal university,https://dblp.org/pid/z/AoyingZhou.html,z-AoyingZhou,https://dblp.org/pid/z/AoyingZhou.html,9
aparna garimella,india,adobe research,https://dblp.org/pid/183/5034.html,183-5034,https://dblp.org/pid/183/5034.html,6
aparna varde,united states,montclair state university,https://dblp.uni-trier.de/pers/v/Varde:Aparna_S=.html,20-3559,https://dblp.uni-trier.de/pid/20/3559.html,5
apostolos papadopoulos,greece,aristotle university of thessaloniki,https://dblp.org/pers/p/Papadopoulos:Apostolos_N=.html,p-ANPapadopoulos,https://dblp.org/pid/p/ANPapadopoulos.html,6
arash termehchy,united states,oregon state university,https://dblp.org/pid/t/ArashTermehchy.html,t-ArashTermehchy,https://dblp.org/pid/t/ArashTermehchy.html,9
arash termehchy,united states,oregon state university,https://dblp.org/pid/t/ArashTermehchy.html,t-ArashTermehchy,https://dblp.org/pid/t/ArashTermehchy.html,9
arbee chen,taiwan,asia university,https://dblp.org/pers/c/Chen:Arbee_L=_P=.html,c-ALPChen,https://dblp.org/pid/c/ALPChen.html,2
arijit biswas,united states,javadpur university,https://dblp.uni-trier.de/pers/b/Biswas:Arijit.html,16-5085,https://dblp.uni-trier.de/pid/16/5085.html,4
arijit khan,singapore,nanyang technological university,https://dblp.org/pid/67/2933.html,67-2933,https://dblp.org/pid/67/2933.html,8
arindam pal,australia,"data61, csiro",https://dblp.org/pers/hd/p/Pal_0001:Arindam,34-5594,https://dblp.org/pid/34/5594.html,10
aristides gionis,finland,aalto university,https://dblp.uni-trier.de/pers/g/Gionis:Aristides.html,g-AristidesGionis,https://dblp.uni-trier.de/pid/g/AristidesGionis.html,10
arlei silva,united states,ucsb,https://dblp.org/pers/s/Silva:Arlei.html,19-2546,https://dblp.org/pid/19/2546.html,3
